ventas(miles €),T.ESPAÑA,CATALUÑA,ARAGÓN,ILLES BALEARS,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,ANDALUCÍA,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,EXTREMADURA,CASTILLA Y LEÓN,GALICIA,PRINCIPADO DE ASTURIAS,CANTABRIA,PAIS VASCO,LA RIOJA,C. FORAL DE NAVARRA,CANARIAS
.TOTAL ALIMENTACION,79348253.964577,14194336.577893998,2343943.333583,2079831.298135,8072971.825855,2277991.2556009996,13097601.816249002,10989709.590122998,3189510.8546039993,1592526.216296,4192015.093127,4890843.855038,2006396.351171,937286.912449,4257823.391378,521999.27187700005,1147527.5932840002,3555940.8543719994
TORTILLAS REFRIGERAD,68228.297,13025.192299999999,2894.9865,1514.9698500000002,5325.5509,1931.63898,13023.833900000001,11491.871600000002,2776.329,1420.5789700000005,3934.5686,1760.32328,1143.83905,684.0105500000001,2929.8427,507.09407,1101.6614699999998,2762.0086
TORTILLAS REFRIGE.SG,47866.02999999999,7592.6253,1901.4896000000003,1184.83665,3956.8579999999993,1592.68555,9613.499399999999,8344.1436,2180.2401999999997,891.82023,3014.7636999999995,1295.4243000000001,807.8613999999999,493.1821,2063.5510000000004,426.2635149999999,744.5703300000001,1762.21435
TORTILLAS REFRIGERADTORTILLAS REFRIGE.SG,116094.32699999999,20617.8176,4796.4761,2699.8065,9282.408899999999,3524.32453,22637.3333,19836.0152,4956.5692,2312.3992000000007,6949.3323,3055.74758,1951.7004499999998,1177.19265,4993.3937000000005,933.357585,1846.2318,4524.22295
