ventas(miles €),ESPAÑA,CATALUÑA,ARAGÓN,ILLES BALEARS,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,ANDALUCÍA,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,EXTREMADURA,CASTILLA Y LEÓN,GALICIA,PRINCIPADO DE ASTURIAS,CANTABRIA,PAIS VASCO,LA RIOJA,C. FORAL DE NAVARRA,CANARIAS
FOIE-GRAS Y PATES,143476.82599999997,29091.064999999995,4428.3504,4464.405099999999,17045.6676,4264.6844,28104.456,19717.991,5428.985,3433.244,5096.2881,2766.6041,2109.98445,1092.65731,9824.4311,1118.28031,1620.99291,3868.7397
COCIDOS Y OTROS,236125.434,37746.6089,6893.520299999999,6923.9649,27598.581900000005,6371.94072,38936.9959,35816.4938,11657.5147,6192.3166200000005,14406.4545,9683.90786,5859.22628,2363.795395,11448.790100000002,1402.4035510000003,2169.69686,10653.2395
COCIDOS Y O. CORTE,49556.414,6919.008900000001,1087.4395,630.0518999999999,4158.816899999999,1382.9016200000003,9826.9279,7780.271799999999,2462.5685,1010.84802,3360.9789,1723.85126,1949.53598,98.812695,2338.5201,314.517141,250.77556,4260.5865
COCIDOS Y O.ENVASA,186569.02,30827.6,5806.0808,6293.9130000000005,23439.765,4989.0391,29110.068,28036.222,9194.9462,5181.468599999999,11045.475599999998,7960.0566,3909.6903,2264.9827,9110.27,1087.8864099999998,1918.9213,6392.652999999998
COCIDOS DE PAVO,9020.3233,2196.9498000000003,171.69683999999998,70.80925199999999,602.035009,141.037506,1555.94681,1811.04738,476.016529,112.557259,626.4182900000001,228.280907,320.79010900000003,7.82131,270.972279,14.318769,47.232562,366.3924270000001
COCIDOS DE CERDO,219458.2,34140.648,6629.6023000000005,6812.5368,26493.504,6042.248300000001,35633.379,32399.726999999995,10933.2849,5987.2136,13381.002099999998,9248.8136,5365.99,2331.5007,10709.722400000002,1352.46972,2061.6053,9934.9543
TOTAL PESCA,9779809.362830002,1713171.6041100002,288469.354241,215136.213748,958458.886252,282574.459416,1626028.2336140005,1323151.6954340003,411079.56562600005,183153.579317,579085.3489699999,647089.1846050001,278322.76567,120637.575982,614372.1859670001,70334.563243,140259.926456,328484.397865
PESCADOS,4779732.177000001,785027.9436,135485.77982999998,95933.98001,437704.3951699999,130116.02186,769925.0900000001,673151.0384,205107.05319400004,89057.91604,311240.78084,333251.042766,141929.62947,65205.23222499999,336416.230032,37680.30518,78602.56489299999,153897.301325
PESCADOS FRESCOS,3898393.21,637073.7147,109130.26651,74957.99009,330770.99646,110283.71136,611370.5203999999,557657.2705,165809.45443999997,66162.57699,266481.14803000004,287974.44963,127431.73615,55759.636196,298298.00789000007,31856.647152,65830.320963,101544.908446
PESCADOS CONGELADOS,881338.967,147954.22890000002,26355.513320000005,20975.98992,106933.39870999998,19832.3105,158554.56960000002,115493.7679,39297.598754,22895.339049999995,44759.63281000001,45276.593136,14497.89332,9445.596029,38118.222142000006,5823.658028,12772.243929999997,52352.392879
MERLUZA/PESCAD,884918.3400000001,150871.383,24720.7843,12542.3677,74449.32800000001,17908.9279,132013.12699999998,134738.759,46061.5411,19053.432,61941.59900000001,65316.606,24285.1705,12820.857,70600.717,6334.88792,13772.1148,17486.767400000004
MERLUZA/PESCAD.FRE,578391.62,111908.622,14495.6249,6734.499900000001,38260.941,10928.4824,78923.243,91489.759,30730.864,8629.678899999999,40540.766,45054.83099999999,17806.3251,9386.157799999995,54875.986,3928.82721,9858.7823,4838.2617
MERLUZA/PESCAD.CON,306526.72000000003,38962.761000000006,10225.1594,5807.867800000001,36188.387,6980.4455,53089.884,43248.99999999999,15330.6771,10423.7531,21400.833,20261.775,6478.8454,3434.6992,15724.731000000002,2406.06071,3913.3325,12648.505700000002
SARDINA/BOQUERON,362380.21,54985.988,11058.522,6057.9755,29222.934,11398.286300000002,82480.98800000003,44794.043,19636.1476,6666.2669,21178.5779,19919.6155,11153.4116,6568.5149,26157.941100000004,2244.07357,4657.812099999998,4199.1225
BOQUERONES FRESCOS,238376.862,33405.492,6754.36042,3628.35786,18392.3684,7663.998100000001,60299.236,33242.674,11481.3929,3698.3894500000006,13537.400900000002,6946.60972,7339.794699999999,5260.49219,20994.8908,1714.2801899999995,2827.07165,1190.05119
SARDINAS FRESCAS,113914.61,20204.3,4152.17563,2154.57457,10184.0335,3493.7863,20839.7382,10243.3007,7155.668,2348.97645,7311.3221,12674.69,3661.6228,826.01421,4999.422,521.242974,912.783818,2230.95518
ATUN Y BONITO,212721.41,24472.382,5491.1951,2540.16793,19775.986,5945.820999999999,38215.128,30287.323000000004,6398.5664,3627.628400000001,12401.755,6521.2938,9342.72567,4314.537026,20729.8324,3131.1008600000005,5113.343500000001,14412.633400000002
TRUCHA FRESCA,70905.17400000001,9038.3435,2366.21873,959.19147,7719.1616,1584.7110199999995,9191.1532,10197.5349,4994.560699999999,2137.2876599999995,9191.9662,3351.6324,2908.51441,342.42901,3950.5195,837.13691,1908.18866,226.62084
LENGUADO,120277.83,22040.0849,1786.93313,941.76823,7936.45201,7016.156499999999,28639.1928,16382.4468,3603.359254,1605.55755,8827.953430000001,4316.432875999999,2801.39046,832.108619,4572.245252,422.493848,940.169721,7613.078279000001
LENGUADO FRESCO,98577.135,18409.5,1207.52928,624.7088100000001,5312.0351,5812.6036,21758.456,13935.8033,3006.08687,1433.01338,7916.7283,3399.517619999999,2723.1571800000006,748.4316899999999,4006.4099,359.19389,679.316501,7244.638899999999
LENGUADO CONGELADO,21700.695,3630.5849,579.40385,317.05942,2624.41691,1203.5529,6880.7368,2446.6435000000006,597.272384,172.54417,911.22513,916.915256,78.23328000000001,83.67692900000002,565.8353520000001,63.299958,260.85322,368.439379
BACALAO,504950.79,92252.17,17584.2755,10250.19277,50025.045000000006,12333.405899999998,75056.458,62279.3418,21482.1614,11753.3334,30438.1933,29492.265700000004,15495.15572,5957.047210000001,41540.9432,5979.296360000001,9466.89896,13564.58998
BACALAO FRESCO,328955.34,45804.119000000006,11097.870000000004,4389.7790700000005,32466.242,8959.944099999999,50561.956000000006,43530.719,14820.567900000002,7222.2615,23744.0506,21419.4519,12167.7087,4055.81108,35673.754,4515.7529,6281.528600000001,2243.82778
BACALAO CONGELADO,175995.45,46448.051,6486.405500000001,5860.4137,17558.803000000004,3373.4618,24494.502,18748.6228,6661.5935,4531.0719,6694.1427,8072.8138,3327.44702,1901.23613,5867.1892,1463.5434599999996,3185.37036,11320.7622
BACALADILLA,157.084786,78.887919,0.0,0.0,21.86989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.191587,0.0,10.13539,0.0
CABALLA FRESCA,67522.649,11827.9132,1291.3996099999997,607.02252,6532.587299999999,2362.73187,13214.1272,8101.620599999998,3202.5941000000003,1105.27776,3167.563130000001,4593.89961,1952.55566,662.10946,3541.68359,246.9547,261.925784,4850.6811
SALMON,774290.752,142068.81199999998,26404.726570000003,23921.0883,84172.7208,23736.9676,112177.7648,121669.0456,34237.85037,14725.79388,42194.53738,39328.82318,19877.90422,9540.20947,38073.76449,5399.16064,11867.24645,24894.363600000004
SALMON FRESCO,669010.26,106898.08200000002,24099.093,20415.751000000004,72120.169,22067.319000000003,97383.383,105704.245,31584.646,13391.8072,39464.444,36504.689,19112.3071,7771.8482,36895.184,5005.332899999999,11364.4516,19227.531000000003
SALMON CONGELADO,105280.492,35170.73,2305.63357,3505.3373,12052.551799999996,1669.6486,14794.381799999996,15964.8006,2653.2043699999995,1333.98668,2730.0933800000003,2824.1341800000005,765.59712,1768.36127,1178.58049,393.82774000000006,502.79485,5666.8326
LUBINA,273656.57,38107.965,7798.7289,5152.0126,23598.741,8973.41,33305.221,42224.757000000005,14764.9934,4215.8122,21693.592900000003,16802.5022,9252.9754,7222.822000000001,23218.385,2793.23674,7332.0067,7199.414399999999
DORADA,285148.54,46223.175,7591.1681,8323.9202,26638.506000000005,12633.7843,49536.366,37776.152,10605.363,5363.2244,17931.867000000002,15080.2779,9794.6606,4563.2941,17440.103700000003,1856.27408,6145.3603,7645.060299999999
RODABALLO,58873.20999999999,8192.676,1568.4158699999998,1082.31159,4666.034159999999,1458.54264,5143.895,7967.661399999999,1179.21366,864.5301200000001,4937.0261,9298.1466,1501.0281599999998,1002.81042,7497.4204,861.503692,1480.39997,171.59324999999998
RAPE,166494.322,55282.446,3870.83902,4145.8417,14415.4683,4043.38093,16495.902000000002,15253.035300000003,3007.18081,1861.36017,8209.575900000002,17323.026100000003,4262.16357,1754.58291,11563.2963,1300.3360000000002,2064.026248,1641.8622760000003
OTROS PESCADOS,997592.38,129664.60499999998,23952.573,19410.1195,88551.43100000001,20719.8959,174455.76700000002,141479.318,35933.521400000005,16078.4116,69126.5736,101906.5209,29301.9735,9623.9101,67529.3781,6273.849859999999,13593.0717,49991.514
OTROS PESCADOS FRE,725756.77,105922.503,17193.662,13924.807800000002,50042.191000000006,14114.6942,115160.70200000002,106394.617,21878.67,9644.4284,56103.235000000015,88705.566,25454.203,7366.2876000000015,52747.492000000006,4776.923700000001,8683.178699999999,27643.661000000004
OTROS PESCADOS CON,271835.61,23742.102000000003,6758.911,5485.3117,38509.240000000005,6605.2017,59295.065,35084.701,14054.8514,6433.9832,13023.3386,13200.954899999995,3847.7705,2257.6225000000004,14781.8861,1496.9261599999998,4909.893,22347.853
PEZ ESPADA/EMPERADOR,111335.169,7066.6141,2424.0542,1801.63209,27266.587000000003,4504.469150000001,31986.862,17688.360800000002,6806.3053,1915.60208,2840.7653,2614.70733,859.6449799999999,207.786679,1526.6926000000003,168.468181,1037.44901,619.174319
MARISCO/MOLUSCO/CRUS,2788673.8714300003,534294.5764,83642.19572500001,69116.140436,290994.4721,74550.008764,496275.417674,339021.367034,115336.848759,44415.4737,158912.00856299998,199585.05908,81051.58347200001,29202.125085,139347.92693,19851.819177,32403.736742,80673.142135
MARISCO/MOLUSC CONG,1046314.56343,208785.3482,34013.595325,31833.63667600001,118048.8519,27875.193794,155897.151874,119626.914534,47357.835559,17436.888529999997,53403.364863,85385.68778000001,25127.863192,10891.77954,44640.02403000001,6521.62049,13326.849144,46142.000175
MARISCO/MOLUSC FRES,1371858.844,279634.495,39199.491,30272.339890000003,139998.93050000005,35925.64577,256941.48280000009,152110.2125,49038.4201,15513.63577,82520.0356,98450.4177,49256.153600000005,13908.031983,75436.90129999998,10031.694517,15026.555917999998,28594.41137
MARISCO/MOLUSC COCI,370500.464,45874.7332,10429.1094,7010.16387,32946.689699999995,10749.1692,83436.783,67284.23999999999,18940.5931,11464.9494,22988.6081,15748.9536,6667.56668,4402.313562,19271.0016,3298.50417,4050.3316799999993,5936.730589999999
"ALMEJAS,BERBERECHO",213242.86593000003,42821.72798999999,4493.608775,2929.2079410000006,15934.39162,6472.0215100000005,48565.21112400001,25856.809244000004,7902.72442,2813.05325,12886.84554,14849.58539,5372.090082,3100.550536,13000.56546,841.503364,2619.141899,2783.8305250000003
ALMEJAS CONGELADO,33090.024,6550.903900000001,859.472175,536.177421,1805.98353,742.09041,6410.5195,5619.1791,2003.87812,1125.65013,1532.38544,1887.21699,275.168182,564.801536,1445.85156,116.972294,589.5438,1024.22707
BERBEREC.CONGELADO,1952.96193,212.54809,0.0,0.0,975.8589900000002,0.0,243.540624,155.96634400000002,124.3559,37.93258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.759405
"ALMEJAS,BERB.FRESC",178199.88,36058.276,3634.1366,2393.0305200000003,13152.5491,5729.9311,41911.151,20081.6638,5774.490400000001,1649.4705400000005,11354.4601,12962.3684,5096.9219,2535.7490000000003,11554.7139,724.53107,2029.598099,1556.84405
MEJILLON,165279.7635,36570.47671,5713.68074,3587.875495,20539.84099,4138.931243999999,22910.185070000003,17593.45067,5492.017374999999,1623.32125,11599.263903,11967.78019,6351.232150000001,1420.278467,8224.15597,1020.108855,2531.622334,3995.5546
MEJILLON CONGELADO,13934.059499999998,2702.86571,668.1160399999999,484.858195,999.19199,307.178974,1628.11627,1530.9839700000002,338.497175,363.00122,716.4587029999999,367.51629,216.21365,83.594364,694.33117,84.06568499999999,279.152844,2469.9168
MEJILLON FRESCO,151345.704,33867.611,5045.5647,3103.0172999999995,19540.649,3831.75227,21282.0688,16062.4667,5153.520199999999,1260.32003,10882.8052,11600.2639,6135.0185,1336.684103,7529.8248,936.04317,2252.46949,1525.6378
"CALAMARES,PULPO",580869.424,107499.0255,17058.67597,15183.42686,53397.23339,14420.530900000002,91684.05147999998,65837.60132,18036.385764,8845.66866,32535.606619999995,51012.281,19656.69359,5310.9483,37095.2001,3613.08296,8043.95602,31639.0842
CALAMARES CONGELAD,178521.06,38664.599,6642.674099999999,6132.2716,22432.701,5236.427900000001,25181.693,21801.785,5974.4555,3425.9366,6758.242,11033.5215,2150.97204,1759.67441,9426.5638,984.65634,2692.43377,8222.4654
PULPO CONGELADO,44416.50400000001,5550.8655,1272.47847,640.88536,2390.06939,1140.9355999999998,4181.103479999999,3065.52032,648.6304640000001,959.66254,3533.2136199999995,11120.936500000002,2711.68435,370.35899,1883.2883,65.15323,856.89805,4024.8208
CALAMAR Y PULPO FR,357931.86,63283.56100000001,9143.5234,8410.269900000001,28574.463,8043.1674,62321.25499999999,40970.296,11413.2998,4460.069519999999,22244.151,28857.823,14794.0372,3180.9149,25785.348,2563.2733900000003,4494.6242,19391.798000000003
GAMBAS/LANGOSTINOS,1034318.61,180141.62,30470.6104,28171.55347,106352.9264,28884.3625,206725.212,138560.435,50185.3909,19670.63598,55213.3077,58708.2656,23549.9956,11727.13202,49039.988,7584.870537,12254.055239,27078.24641
GAMBAS/LANG.CONG.,598318.87,118281.064,19193.2518,16890.9683,65775.106,17138.785200000002,90981.063,71297.822,29787.488000000005,9080.6925,32243.767000000003,43334.34299999999,16704.842800000002,6501.5456,27464.65,4516.77231,7412.48182,21714.26
GAMBAS/LANG.COCIDO,228461.72,24601.716,6141.837600000001,3766.7588,22133.886,5750.8895,57407.25,42417.19600000001,13298.7782,7955.169800000001,12251.7124,8093.555200000001,2846.9995000000004,2984.2423200000003,11937.085,1486.5513500000002,2481.53818,2906.54229
GAMBAS/LANG.FRESCO,207538.02,37258.84,5135.521,7513.82637,18443.9344,5994.687800000001,58336.899,24845.417,7099.124699999999,2634.77368,10717.8283,7280.3674,3998.1533,2241.3441,9638.253,1581.546877,2360.035239,2457.44412
OTROS MARISC/MOLUSC,794963.2079999999,167261.7262,25905.61984,19244.07667,94770.0797,20634.16261,126390.758,91173.0708,33720.3303,11462.794560000002,46676.984800000006,63047.1469,26121.57205,7643.215762,31988.017400000004,6792.253461000001,6954.96125,15176.426399999998
OTROS MARISC.CONG.,176081.084,36822.502,5377.602739999999,7148.4758,23669.941,3309.77571,27271.116,16155.6578,8480.5304,2444.01296,8619.2981,17642.1535,3068.98217,1611.80464,3725.3392,754.0006310000001,1496.33886,8483.5507
OTROS MARISC.COCI.,142038.744,21273.0172,4287.2718,3243.40507,10812.8037,4998.2797,26029.533000000003,24867.044,5641.814899999999,3509.7796,10736.8957,7655.398399999999,3820.56718,1418.0712420000002,7333.9166,1811.95282,1568.7935000000002,3030.1883
OTROS MARISC.FRES.,476843.38,109166.207,16240.745300000002,8852.1958,60287.33499999999,12326.107200000002,73090.109,50150.369000000006,19597.985,5509.002,27320.791000000005,37749.595,19232.0227,4613.33988,20928.7616,4226.30001,3889.8288899999993,3662.6874
CONS.PESCADO/MOLUSCO,2211403.3144,393849.08411,69341.378686,50086.093302,229760.018982,77908.42879199999,359827.72594000003,310979.29000000004,90635.66367300002,49680.189577,108932.559567,114253.082759,55341.552728,26230.218672000003,138608.02900500002,12802.438886,29253.624821,93913.954405
SARDINAS,84221.66699999999,12031.2608,3107.4059999999995,1544.5232299999998,6219.7899,2194.14948,8565.216499999999,13844.7709,3778.757000000001,2741.9687000000004,5711.9332,8394.2481,2989.5663,1471.73035,5186.4229000000005,643.53086,1406.08786,4390.3043
ATUN,826420.0899999999,136644.802,22627.063,20203.932000000004,85274.70000000001,27248.785,146754.34000000003,102499.268,31352.233,18302.758,38666.883,46874.63000000001,24794.2796,11131.1035,44509.062000000005,4656.8719,9941.376800000002,54938.033
CHICHARRO/CABALLA,51912.765,4470.5173,1090.98623,878.9919400000001,4770.443700000001,2449.3997,16240.863999999998,7417.558999999999,2906.7665,2662.4227,2588.8140000000003,1106.75725,482.879588,538.2717620000001,1220.6835500000002,368.0084100000001,296.81566000000004,2422.5832
MEJILLONES,119488.78199999998,14220.9882,3840.687,2553.6582000000003,14723.9768,5358.0514,17299.893,20173.693000000007,6580.826,2771.95,7622.8534,7649.376200000001,4636.6999,1650.3818,5043.1594000000005,616.05939,1383.7153299999998,3362.8059
BERBERECHOS,75339.39199999999,30785.409,2660.6437,1442.15933,11956.2546,4829.4209,3729.4727,8381.4352,3142.4857,648.06286,2080.09507,685.1612600000001,577.52327,466.2996690000001,1126.71513,263.984706,587.0689100000001,1977.19992
ALMEJAS,15086.084,4549.4547,665.8373700000001,680.15567,1936.3928,244.402234,2166.9509000000003,1648.758,943.344,156.06240300000002,619.02874,243.011082,123.520913,42.357704000000005,557.75361,105.05885,120.75392799999996,283.240526
CALAMARES,40837.985,5360.6166,1234.2311700000002,957.43168,2899.5426,1475.5466600000002,7951.6301,5974.8797,2965.8209000000006,1820.96111,2577.7851,1292.81958,1698.19251,691.38519,1890.04175,136.60971700000002,563.81234,1346.67641
PULPO,4464.786899999999,672.22497,267.748656,44.80945,576.00432,151.88214,636.0406600000001,568.25682,192.515215,227.927865,212.041364,178.33455999999995,273.650731,11.65816,236.342882,10.534890999999998,0.0,204.814159
ANCHOAS,92083.024,20771.735,3745.6258,2348.4503,9425.9117,2992.3532,14461.9753,12794.0324,4159.6889,2184.52519,4235.7147,2704.5624,1945.6748800000005,958.10579,5908.885399999999,564.7869,1334.26952,1546.72107
SALMON AHUMADO,224865.13000000003,41068.822,7401.0902,5971.070199999999,28761.349,10609.3036,29069.203,42464.481,10542.120100000002,4993.0626,9731.5882,7328.830099999999,2639.4877400000005,1723.61844,12088.8001,647.215043,2391.60146,7433.4953
TRUCHA AHUMADA,4558.012500000001,452.88944,205.271941,113.118288,173.534062,127.359848,874.2962800000001,1513.86468,189.732658,156.767374,287.462933,120.908557,11.515319000000002,11.426953,254.010179,14.065774,44.313066,7.475259
OTROS AHUMADOS,35765.096000000005,4865.6531,1485.241619,203.547114,4972.0435,2101.75563,8988.8465,4581.4573,1533.2217,472.8157749999999,1293.12086,3289.2436700000003,155.764777,62.509054,1157.1211039999998,44.377445,180.493347,377.882761
OTRAS CONS.PESCADO,636360.5,117954.71099999998,21009.546,13144.245899999998,58070.076,18126.019,103088.997,89116.834,22348.152,12540.905000000002,33305.239,34385.2,15012.7972,7471.3703,59429.031,4731.335,11003.3166,15622.7226
PESCADO SALADO,155149.26499999998,36077.912,3253.4303000000004,1936.00088,14346.666,6335.6135,19622.8142,17147.3282,6967.559699999999,2901.91758,9203.3542,13664.4197,3883.09362,1359.70714,10714.8034,1345.9721000000002,1121.954004,5266.7165
SUSHI,46661.889,7653.863800000001,2067.76693,2040.36768,5922.245000000001,1360.66853,9659.9746,5074.2482,1339.3425599999998,954.69413,1789.4248899999998,2173.5038400000008,1564.89253,591.5611299999999,1818.0165400000003,379.688079,398.6128829999999,1873.014816
TOTAL LECHE LIQUIDA,2266026.3146,303079.98162,69035.851397,51442.91190399999,214875.083733,65813.14201,352436.16825999995,328255.21207,115826.02532000002,64155.64351,152995.6213,160688.85443000004,70517.816558,30466.019621,126155.72417800002,18196.245464,39208.40572,102877.6211
LECHE PASTERIZADA,83500.193,17453.19,3041.1644,2230.4151,4286.2876,3310.45128,9815.9052,13979.601599999998,2191.9273000000003,596.30674,4948.6387,6152.715,1479.27214,1582.3806100000002,6917.935400000001,447.759464,1793.4903699999998,3272.7511
LECHE ESTERILIZADA,2166435.2,283815.99999999994,65818.174,49017.26099999999,210098.6,59117.19399999999,341921.42,313842.78,113605.832,62887.41599999999,141870.803,153615.01,68324.25000000001,28728.231,119018.756,17748.486,37400.133,99604.87
LECHE CRUDA,16090.9216,1810.79162,176.51299699999998,195.235804,490.196133,3385.49673,698.84306,432.83047,28.26602,671.9207700000002,6176.1796,921.1294299999998,714.294418,155.408011,219.032778,0.0,14.78235,0.0
LECHE BOTELLA VIDRIO,1655.8539500000002,223.405927,664.3415,84.58064999999999,34.762370000000004,5.399037,198.87762,144.81795000000002,46.40886,0.0,9.457491,0.0,0.0,37.23634,175.870688,0.0,15.25956,15.43596
LECHE BOTELLA PLAST.,324168.61,46491.598000000005,8144.6226,8351.9079,30505.487,15190.3945,41763.156,53038.037,20644.643,7299.5896,12840.699,18143.528,11473.5333,6076.259,19171.267,4698.01738,3899.5031,16436.368999999995
LECHE CARTON,1923161.21295,254554.20607300004,60050.37590000001,42811.18445,183844.66063,47231.852463,309062.99273,274480.456246,95106.71014,56184.13540000001,133967.946334,141614.918875,58329.9907,24197.115660000003,106532.798079,13498.226620000003,35268.104141,86425.81704000002
LECHE BOLSA,949.5231,0.0,0.0,0.0,0.0,0.0,712.3136500000002,159.07880400000002,0.0,0.0,1.338175,9.283125,0.0,0.0,56.753233,0.0,10.756199,0.0
LECHE ENVASADA,2249935.39,301269.22400000005,68859.3376,51247.6726,214384.895,62427.6464,351737.336,327822.405,115797.766,63483.72379999999,146819.439,159767.725,69803.5248,30310.6094,125936.689,18196.2442,39193.622500000005,102877.624
LECHE ENTERA,618640.29,78672.35,21342.94,16797.618,45683.045,16783.4264,109246.16999999998,83797.37,32268.663,21266.28,42254.187,38232.89899999999,15330.867800000002,8888.4651,41099.938,5344.9593,10558.2727,31072.852000000003
LECHE DESNATADA,571919.5299999999,70384.404,14663.7736,12302.252599999996,60276.62,15308.497,63818.446,89178.62499999999,25567.057,10836.985800000002,37841.065,45899.08,25474.685,11117.011300000002,35414.273,6863.0584,15289.4944,31684.237
LECHE SEMIDESNATAD,1059375.57,152212.46999999997,32852.624,22147.802,108425.23,30335.723000000005,178672.71999999997,154846.41,57962.04600000001,31380.458,66724.187,75635.746,28997.972,10305.133000000002,49422.478,5988.2265,13345.8554,40120.535
LECHE DE CABRA,11225.5627,1987.85424,72.637528,208.24854,1179.93303,847.35549,2122.81908,846.5356,44.648397,42.645267,625.9399800000001,70.271576,86.432747,94.86712,287.95126400000004,22.554964,44.687389,2640.17912
LECHE SIN LACTOSA,344718.44000000006,56979.25499999999,9546.6004,5966.9764,34463.076,12961.2301,51773.563,47554.867,17958.958,7742.8268,17124.736399999998,23584.611,12387.5954,3430.94679,14206.9003,1592.64494,5242.365099999999,22201.309
LECHE ENRIQUECIDA,327516.2506,44549.50072,10383.68041,7293.879163999999,51028.11289,10413.668046,55191.33255,49352.680830000005,18821.535020000003,6871.782142999999,16142.452459999997,18034.781901,9344.5735,2869.9047239999995,11729.519510000002,1981.626596,5406.960224,8100.233280000001
L.ENRQ.CON CALCIO,155674.77000000002,16906.493,5442.2074,3678.6562,26267.963,3852.9739,28316.62,25964.938,11020.9005,4851.9726,8284.2189,7446.2072,1491.2351999999998,1610.3107299999997,4348.577899999999,1148.09363,2113.6214,2929.7843000000003
L.ENRQ.CON VITAMIN,33634.852000000006,1284.2121299999997,310.32961,262.025324,3873.202600000001,978.704925,16730.956000000002,1533.6122900000005,679.7715,724.6618000000001,689.0561100000001,220.142891,2954.596,169.275494,1675.68925,65.16397599999999,319.322624,1164.12408
L.ENRQ.OTROS ADIT.,138206.6286,26358.79559,4631.1434,3353.1976400000003,20886.94729,5581.989221000001,10143.75655,21854.13054,7120.863020000001,1295.147743,7169.177450000001,10368.431809999998,4898.7423,1090.3185,5705.25236,768.3689899999999,2974.0162,4006.324900000001
BIFIDUS+FIBRA,4009.0086,4.77259,142.84169999999995,49.13264,2017.88329,66.858121,627.72565,197.01154,300.59332000000006,409.282383,10.94635,150.50591,0.0,0.0,22.18176,9.27362,0.0,0.0
RESTO OTROS ADITI,134197.62,26354.023,4488.3017,3304.0650000000005,18869.064,5515.131099999999,9516.0309,21657.119,6820.269699999999,885.86536,7158.231100000001,10217.925899999998,4898.7423,1090.3185,5683.0706,759.09537,2974.0162,4006.324900000001
TOTAL OTRAS LECHES,190874.384,22996.5175,6848.844039,5944.481242,22898.898220000003,8249.183305,44429.1646,24754.3763,4786.569262999999,7035.027001,11784.530631999998,10131.89987,2461.97551,1349.202968,4895.4392100000005,1030.531109,1894.094757,9383.666839999998
LECHE CONDENSADA,43424.144,4973.4193000000005,765.5451299999999,1286.57827,6197.467700000001,2093.6584900000003,7893.8909,4098.4296,1724.02806,953.20258,1626.40334,2183.3542,978.65947,617.77092,1489.25825,131.978051,321.881987,6088.617499999999
LECHE EN POLVO,136233.59399999998,16026.2694,5803.578600000001,4375.8853,15270.844299999995,5822.504209999998,34402.871,18679.2524,2853.83864,5920.317899999999,9830.2987,7503.741100000001,1262.8276400000002,640.752396,3044.966,863.824056,1432.1592,2499.682
LECHE EVAPORADA,11216.645999999995,1996.8288,279.720309,282.017672,1430.58622,333.02060499999993,2132.4027,1976.6943000000003,208.702563,161.506521,327.828592,444.80457,220.4884,90.679652,361.21496,34.729001999999994,140.05357,795.3673399999998
PREPARADOS LACTEOS,147833.04,20702.19,3420.0066,3741.0402,20265.042,5586.767899999999,33101.579000000005,16271.51,6398.533099999999,3371.6600000000003,2966.6651,7113.292399999999,1342.4347,497.85071,6015.0084,955.050752,2835.158475,13249.269
DERIVADOS LACTEOS,5964453.359100001,1061628.9614,156490.071467,170303.37291700003,625244.51088,176691.356752,1016484.5129100002,760270.679,224066.425696,130855.400865,274136.760877,362895.929357,172722.000524,70840.140746,294828.53572000004,36607.846559000005,74686.981175,355699.861383
BATIDOS DE LECHE,141714.426,29598.872,3816.030800000001,5759.9067000000005,15349.9036,5367.1019,36570.283,12115.268500000002,7376.9139,2578.965,5642.109199999999,3523.2177000000006,2956.3393,770.37059,3529.3286000000007,867.2550600000001,851.5083300000002,5041.0572
BATIDOS CON CEREAL,914.3671399999998,71.48855,39.401775,4.574557,251.010769,20.932376,178.688515,78.40988700000001,87.57448199999999,8.376451000000001,26.051540000000003,14.251727,0.0,16.32313,101.471706,0.0,2.842699,12.969006
BATIDOS DE YOGURT,100203.403,11482.0132,1845.47497,2401.4446,9672.9653,4565.9556,20716.632,12041.5567,3283.2768,2391.9625,4853.752,6120.351500000001,2162.6207,1719.47438,4958.0977,484.93975,1367.48149,10135.404
BATIDO YOG.SIN LACTS,6108.0106000000005,703.951241,126.052971,120.55837499999998,831.319774,442.328455,1234.9499099999998,743.394221,175.47068099999998,127.71542,358.03963500000003,362.9411960000001,176.925883,58.295379,328.57527600000003,9.912824,68.223848,239.355773
LECHES FERMENTADAS,1462071.9,251728.31000000008,41551.15700000001,36521.265,123354.96899999998,33802.880999999994,243871.96,194647.47,50610.41399999999,33122.486000000004,77896.685,102697.191,50952.715,19813.842,95627.763,9984.6475,23393.076,72494.96800000001
YOGURT,825252.436,148657.32760000002,24363.38279,19465.086325,64923.5113,20777.13671,144613.7367,103708.6387,30233.36241,18686.583814,41216.01363,57833.82136,26127.527979999995,10701.052929,49523.759,5833.150777,11808.586593,46779.740170000005
Y.CON ADITIVOS,317520.48,50494.297,10079.348,7720.378499999999,24854.218,7070.1724,62833.225,41172.657,11196.9895,8058.757999999999,15975.691,20333.553,10557.5449,3960.4991,19158.733,1479.8683500000002,3762.6078,18811.961
Y.SIN ADITIVOS,507731.9100000001,98163.026,14284.036600000003,11744.7083,40069.298,13706.966600000002,81780.51000000001,62535.98600000001,19036.376,10627.8262,25240.322,37500.269,15569.983,6740.5535,30365.028,4353.2824,8045.978700000001,27967.784
