ventas(miles €),ESPAÑA,CATALUÑA,ARAGÓN,ILLES BALEARS,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,ANDALUCÍA,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,EXTREMADURA,CASTILLA Y LEÓN,GALICIA,PRINCIPADO DE ASTURIAS,CANTABRIA,PAIS VASCO,LA RIOJA,C. FORAL DE NAVARRA,CANARIAS
CARNE FRESCA,9326868.538,1678416.4269900003,315381.76100999996,216718.52453,972577.5440800001,232478.59396,1364244.54315,1324464.9571,429784.8716,178891.354819,637309.6375,640583.5977700001,214992.14943000002,120345.60609000002,508803.31163999997,69664.25442,138386.9652,283824.532558
SALCHICHAS FRESCAS,123908.66199999998,38379.886,8135.8501,2839.0318,9391.029700000001,3353.4109000000003,14340.416099999999,11593.240999999998,7105.4346,3035.5153,10517.4684,2681.0985000000005,1447.28888,1651.85065,6369.1471999999985,1112.78146,1526.4956500000003,428.72217
CARNE VACUNO,2165426.0250000004,387027.22939999995,61180.08528,46272.80789999999,182473.79979999998,38432.52618,235854.75629999998,382224.89900000003,79979.2636,25292.272049,157727.7405,172115.89087,57551.57123000001,40598.10416,157540.5164,13582.03837,37174.22074999999,90398.37240000001
TERNERA,1574183.8,331180.9599999999,48233.232,31152.353,130752.596,27163.324999999997,170990.1,242720.12000000002,54700.642,18981.119499999997,118444.617,155090.67999999996,51997.395000000004,20342.469,97263.933,10510.624199999998,29562.220999999998,35097.478
AÑOJO,454254.92,38209.880000000005,9454.3338,10937.1195,38307.04,9374.7333,51967.766,118266.85199999998,21441.771,5104.2026000000005,28936.813,11975.307200000001,3934.5882999999994,11903.290799999999,43157.061,1934.6150000000002,5124.768099999999,44224.772
MAYOR,136987.305,17636.3894,3492.51948,4183.3354,13414.163799999998,1894.4678800000002,12896.890300000001,21237.927000000003,3836.8506,1206.949949,10346.310500000001,5049.90367,1619.5879300000001,8352.34436,17119.522399999998,1136.79917,2487.23165,11076.1224
CARNE POLLO,2470867.0,414994.00000000006,85148.3052,62022.3063,273604.822,69252.6033,441845.689,341740.497,113941.12700000001,56728.93809999999,138106.236,140862.724,51833.3308,28248.250499999995,128071.94300000001,17198.018200000002,31475.266699999996,75792.92940000001
POLLO ENTERO,470404.54999999993,76235.302,23332.399,8606.7739,56134.203,17460.6524,74756.672,46148.221999999994,21822.884,12499.203200000002,29045.404000000002,50142.401999999995,6545.590800000001,4817.9679,20389.085,3863.2832000000003,6344.844599999999,12259.689400000003
POLLO FILETES,497298.55000000005,79030.208,14846.5692,11285.4284,45487.939000000006,11809.366899999999,90383.887,82369.435,21605.274999999998,10715.359900000001,28993.333999999995,19973.392,15412.622000000001,5729.1166,28306.375999999997,2751.0581000000006,6378.054100000001,22221.135
POLLO POR PIEZAS,1503163.9,259728.48999999996,46969.337,42130.10400000001,171982.68,39982.584,276705.13,213222.84,70512.968,33514.375,80067.49799999999,70746.93,29875.118000000002,17701.165999999997,79376.48199999999,10583.6769,18752.368,41312.104999999996
CARNE CONEJO,273271.82,64560.76600000001,12393.9536,7351.1693000000005,35054.216,9474.3164,23827.150999999998,28386.084999999995,9321.838599999997,4751.7947,19034.198,26996.397999999997,4239.6389,1792.5722199999996,12542.171699999999,2368.6450199999995,4621.7167,6555.2026
CARNE OVINO/CAPRINO,679365.1529999999,140554.88859000002,39527.22833,12608.862230000002,73211.13948000001,18702.484880000004,60374.54185000001,107516.64780000002,39703.9844,11033.84167,62974.23599999999,38015.6764,13344.8668,6284.551309999999,33641.01594,7618.666009999999,8164.5100600000005,6088.021237999999
CORDERO,590782.44,117309.18,33218.626000000004,12208.705999999998,68316.97200000001,16897.0219,50191.44900000001,95220.625,37790.996,9858.6417,49477.826,31363.784000000003,12902.1645,5920.866719999999,30533.165,7350.5214,7147.033,5074.94196
CABRITO,71771.71,21983.1283,2989.79279,400.15677,4294.16266,1748.9542599999997,9244.356899999999,11191.72176,1447.6345189999997,927.491528,7333.7366999999995,5615.25025,241.14971000000003,335.301569,2595.80869,250.43459,745.4516800000001,427.17501
OTRO OVINO/CAPRINO,16810.969,1262.59863,3318.80847,0.0,600.0051579999999,56.50803,938.736773,1104.310929,465.357884,247.70934000000003,6162.67583,1036.64201,201.55176,28.383383000000002,512.0409440000001,17.70996,272.02542,585.904403
OVINO/CAPRINO ENTE,155371.08299999998,18341.34959,5083.93633,2702.0052299999998,7450.69948,3678.84548,13227.15685,25644.491799999996,11718.9214,3792.9235699999995,26449.654,20152.840399999997,4134.7612,1909.16001,8250.36594,495.77971,1937.03636,401.159838
OVINO/CAPRINO PIEZ,523994.07,122213.539,34443.292,9906.857,65760.44,15023.639400000002,47147.38500000001,81872.15600000002,27985.062999999995,7240.918100000001,36524.581999999995,17862.836,9210.1056,4375.391299999999,25390.65,7122.8863,6227.473699999999,5686.8614
CARNE CERDO,2717747.3000000003,480936.64,79976.50300000001,61380.182,287376.81999999995,69786.114,451587.43000000005,331105.57000000007,140096.91499999998,64243.103,186706.06,209893.06999999998,68137.996,31176.525,120171.73000000001,19574.986,40584.5,75013.113
CARNE CERDO ADOBAD,268519.57999999996,27616.506,7468.908100000001,3049.9414999999995,21724.668000000005,5014.1107,31640.138999999996,58047.871999999996,16861.680999999997,5170.022500000001,32004.839999999997,10982.001499999998,6880.5592,5768.9313999999995,20019.552,2164.5712799999997,4743.3424,9361.9401
CARN.CERDO IBERICO,167702.64999999997,30099.630000000005,2446.4763,2155.66927,9844.647899999998,4239.5954600000005,48637.778,26607.595,7076.393599999999,9494.804,8100.4601,4893.6222,3828.9336000000003,2086.91847,4310.352800000001,278.456717,1314.7141629999999,2286.6123
CARNE CABALLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARNE DESPOJOS,202821.16,41678.740999999995,5824.6756,5136.819799999999,21797.0988,5337.2732,27441.917,24856.012300000002,11620.262,2561.9594999999995,19559.587,12455.593499999999,4518.3442,3000.0244999999995,10240.8336,3103.03082,1477.0619900000002,2211.93092
DESPOJOS CERDO,96226.476,23119.3454,2740.4821999999995,2303.0892799999997,10223.1155,2260.4642700000004,15318.246099999997,9087.245099999998,5887.6348,1392.11643,9239.812100000001,6227.7762,1572.32129,958.804371,3304.4136200000003,1500.4578299999998,696.2882099999999,394.85627600000004
DESPOJOS CORDERO,19233.519,3552.8837999999996,1134.8251500000001,584.737124,2178.37861,754.2814999999999,1464.1066899999998,4205.4978,1754.19119,94.62650500000001,1427.54687,300.771956,47.100637,173.891178,512.1456770000001,729.52116,319.012212,0.0
DESPOJOS POLLO,26024.411,4381.32228,677.341141,840.10592,4964.3815,1366.2063599999997,4590.9535,2534.9687899999994,1620.96405,723.829666,1362.7776200000003,950.5337699999999,571.603272,148.764441,747.8381499999999,92.47145400000001,71.900993,378.44591
DESPOJOS TERNERA,54254.134000000005,9265.5158,910.37117,1113.7334729999998,3533.0202999999997,573.352382,5311.0944,8022.0138,2012.3385200000002,307.451771,7361.8987,4742.44165,2098.84733,1545.8109399999998,5224.0617,613.63463,322.82534100000004,1295.7214840000001
DESPOJOS OT.PROCED,7082.629699999999,1359.6705900000002,361.65591500000005,295.153736,898.2029400000001,382.96847099999997,757.51653,1006.28544,345.133202,43.935261,167.551489,234.06905899999998,228.471205,172.753837,452.37317,166.94568999999998,67.035129,142.907332
OTRAS CARNES FRESCA,817370.08,148664.16199999998,31331.01,21946.377,99059.64799999999,21493.275999999998,123313.05799999999,108635.24600000001,35121.481,14279.445799999998,53201.58,40244.245,15366.4015,9245.5784,46595.100999999995,6218.870000000001,14889.689,27764.962999999996
AVESTRUZ,1762.381869,371.040797,83.8173,25.38999,148.659969,0.0,292.94349,447.792737,39.812118999999996,4.637695,49.124696,48.42014,3.825143,0.0,26.917949999999998,182.99785000000003,21.11621,15.88589
PAVO,439240.25,73149.35,16778.449,9698.3589,46719.013999999996,11857.3241,67957.224,62624.39800000001,18470.286,8104.845899999998,27450.583000000002,24126.17,8325.4507,4286.952899999999,29034.191000000003,3465.760399999999,8585.330800000002,18606.595
OTRAS AVES,87227.988,15619.4133,4170.5007,3270.08868,9072.023299999999,2454.9784000000004,14702.697900000003,12295.5465,3837.8728999999994,1605.2421000000002,6207.9582,3060.5810999999994,1153.68955,1180.53648,5398.8199,604.242383,1282.84976,1310.9462400000002
CARNE CONGELADA,222534.331,27691.154590000002,5243.028441,5660.886842,21126.898119999998,5007.873625,34683.3487,22130.955019999998,11933.191237000001,4816.756071,12862.37624,12117.873739999999,2352.677212,1660.06203,4604.954352,1361.6449399999997,1452.0439230000002,47828.6061
C.CONG.POLLO,97122.11200000001,11223.0721,1876.9312799999998,2513.1538699999996,9925.551,1833.6761999999999,14386.416799999999,8603.9388,6233.746,1439.3885400000001,3918.1398000000004,2744.1277,612.82954,558.90056,2015.2134099999998,483.29267000000004,359.201816,28394.535
C.CONG.CERDO,49995.865999999995,6646.0337,1548.03595,1556.49546,4316.6143,1756.40079,8761.19,5021.6305999999995,2692.67996,1776.0054599999999,2279.3240299999998,4158.9692000000005,416.05989999999997,355.223741,816.0931600000001,158.972031,579.1864899999999,7156.947899999999
C.CONG.VACA,31497.218000000004,4019.7898900000005,611.6072909999999,150.014182,1850.72662,587.719657,4638.4138,3300.8130199999996,941.844347,307.929441,2872.0227000000004,2948.61704,933.1334499999999,348.5549910000001,619.498392,219.79863,153.41493000000003,6993.32
C.CONG.CABALLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RESTO CARNES CONG.,43919.134999999995,5802.2589,1206.45392,1441.2233299999998,5034.006200000001,830.076978,6897.328100000001,5204.5725999999995,2064.9209299999998,1293.4326300000002,3792.8897100000004,2266.1598000000004,390.65432200000004,397.38273799999996,1154.14939,499.581609,360.24068700000004,5283.8032
SALCHICHAS CONGELAD,877.7273499999999,131.80081199999998,30.301540000000003,52.608152,49.191502,0.0,72.82576100000001,51.48060999999999,46.26831,0.0,7.307115,5.967233,0.0,0.0,21.666481,0.0,6.759421000000001,401.550447
CARNE TRANSFORMADA,4766030.785,851153.4884999997,128596.09056600001,106671.69325899998,459694.1683,137220.194009,854379.0327300001,713829.7334400001,207067.049488,108101.126481,251111.95588,237637.97422999993,120804.412204,51144.416185,240658.740063,32587.215167,63842.51894,201531.111431
JAMON CURADO+PALETA,1448798.73,264943.95999999996,43132.753800000006,30254.763359999997,142091.797,39626.3327,266691.859,223013.121,61656.170699999995,27305.8561,70358.596,69725.0533,40052.6132,13232.183410000001,74310.89570000001,10881.37437,22233.335584999997,49288.13607
JAMON C.+P.ENTERO,459460.33999999997,73419.03,17088.373799999998,4954.18936,40316.115000000005,16367.307700000001,107883.242,70214.951,25544.9277,11700.267800000001,26088.05,20954.9873,12188.3452,2805.9057100000005,16667.1797,3156.83377,4749.463785,5361.183069999999
JAMON C.+P.LONCHA,989338.3900000001,191524.93000000002,26044.379999999997,25300.574,101775.68200000002,23259.025,158808.61699999997,152798.16999999998,36111.243,15605.5883,44270.546,48770.066,27864.268000000004,10426.2777,57643.71600000001,7724.540600000001,17483.8718,43926.95300000001
JAMON CURADO NORMAL,905538.5700000001,133108.118,33036.909,21339.551999999996,104511.164,31206.232999999997,169116.103,112381.29900000001,46242.26,16243.679600000001,51088.299999999996,55092.316000000006,28017.303999999996,8264.6115,36699.745,7060.541400000001,14499.4633,37631.007
JAMON C.N.ENTER/PI,259240.1,32451.647,13971.7321,4077.9387100000004,26542.8303,11944.900000000001,55535.82400000001,30579.756,19637.0296,5142.810928,17526.0481,15627.161099999998,8052.525599999999,1950.7705899999999,6328.049400000002,2742.0008,3084.7942850000004,4044.276274
JAMON C.N.LONCHA,646298.4999999999,100656.462,19065.175,17261.613,77968.326,19261.336000000003,113580.284,81801.549,26605.232,11100.865999999998,33562.252,39465.15700000001,19964.778,6313.8411,30371.693000000003,4318.54,11414.670400000003,33586.729
JAMON IBERICO,356757.64,76853.482,6510.2822,7067.0560000000005,24516.6861,5104.3835,67540.19399999999,82138.682,11188.0752,8800.1571,12592.333999999999,10436.3869,7541.1722,2388.3503,17758.9289,1753.91227,5288.823770000001,9278.7434
JAMON IBE.ENTER/PI,143192.568,22301.20867,1905.63243,541.726445,9441.042266,2763.5219850000003,41031.6056,32708.326900000004,4888.51319,6080.997875,6583.01476,2970.2018150000004,2228.16235,136.72003,7082.7847600000005,75.87938,1204.33221,1248.896965
JAMON IBE.LONCHA,213565.06,54552.272999999994,4604.6502,6525.329599999999,15075.643899999997,2340.8607899999997,26508.584,49430.353,6299.5614000000005,2719.15984,6009.3192,7466.1853,5313.0104,2251.6302499999997,10676.1444,1678.03287,4084.49157,8029.845699999999
PALETA CURADA NORM.,75281.08300000001,14698.8983,2344.92073,1184.88889,8814.8443,2398.82503,12637.8163,10273.8845,2983.3170999999998,1412.1878199999999,3031.7465999999995,2945.61194,1210.1019,729.63009,7741.308299999999,635.081499,750.6426700000001,1487.3775499999997
PALETA C.N.ENTR/PI,21355.6412,4986.56981,911.907415,128.612863,2233.45644,1354.493052,3374.89292,2142.5528999999997,805.9560690000001,261.8557,958.33083,1976.2948699999997,555.1673579999999,208.30395700000003,845.3851100000002,338.95342600000004,212.5399,60.367869999999996
PALETA C.N.LONCHA,53925.441999999995,9712.326400000002,1433.01327,1056.2759899999999,6581.387699999999,1044.3317740000002,9262.924200000001,8131.331000000001,2177.36097,1150.33217,2073.4157,969.31706,654.934511,521.32608,6895.923,296.128049,538.10273,1427.0096299999998
PALETA IBERICA,111221.464,40283.469000000005,1240.6414499999998,663.2654640000001,4249.10865,916.8870479999998,17397.7361,18219.2523,1242.517647,849.8335199999999,3646.2150600000004,1250.739458,3284.03482,1849.59172,12110.912699999999,1431.839485,1694.40439,891.010206
PALETA IB.ENTER/PI,35672.0482,13679.605800000001,299.10139,205.9108,2098.7866400000003,304.391549,7940.916950000001,4784.311348,213.4285,214.60384000000002,1020.6566399999999,381.33169,1352.4895,510.111177,2410.95964,0.0,247.79699899999997,7.641814999999999
PALETA IBE.LONCHA,75549.41399999999,26603.861999999994,941.5401089999999,457.35466399999996,2150.3221999999996,612.495488,9456.8192,13434.9417,1029.089047,635.22966,2625.5583600000004,869.4077480000001,1931.5450300000002,1339.4805340000003,9699.9538,1431.839485,1446.607495,883.368386
HUESOS JAMON CURADO,15537.543199999998,1847.88529,344.418115,164.872752,1409.00616,347.2547839999999,3487.5998999999997,4510.500499999999,994.1021499999999,178.21907500000003,658.7921000000001,586.2450310000002,247.75838099999999,195.574139,222.54013300000003,28.271814,46.284972,268.2185
LOMO EMBUCHADO N+IB,232808.33699999997,29369.1764,5586.29883,2880.057627,23180.329499999996,8967.405690000001,39790.284400000004,52611.971900000004,10911.9611,8004.505239999999,14098.819200000002,10917.496700000002,5735.140779999999,1611.8824060000002,10729.2111,1612.81587,2224.2808299999997,4576.68127
LOMO EMB.AL CORTE,84183.90299999999,12244.764799999999,1802.32733,447.30122700000004,11291.183400000002,2656.1811900000002,10997.652399999999,18811.3629,4743.718999999999,1477.66994,5422.971500000001,3895.3905999999997,2356.36688,755.201566,4167.4474,1006.8897699999999,234.99444,1872.46957
LOMO EMB.ENVASADO,148624.434,17124.4116,3783.9715,2432.7563999999998,11889.146100000002,6311.224499999999,28792.632,33800.609000000004,6168.2421,6526.835299999999,8675.8477,7022.1061,3378.7739,856.68084,6561.7636999999995,605.9260999999999,1989.2863899999998,2704.2117
LOMO EMB.NORMAL,133102.103,16616.689,3532.8577,1619.6118700000002,12695.016599999999,7158.003999999999,24266.463,21839.542,6127.4729,3704.9028,9624.419600000001,8147.448400000001,3753.7783,1309.7901600000002,6582.6448,1367.8862999999997,1432.94608,3322.6382000000003
LOMO E.N.AL CORTE,41515.409999999996,4355.738899999999,844.09204,184.05224699999997,4124.1375,1979.07915,6964.770399999999,6410.4322,2259.7914,871.4902160000001,4098.379,2838.18,1663.7346399999997,583.646761,1943.15915,866.2652,223.13425900000001,1305.326191
LOMO E.N.ENVASADO,91586.701,12260.9499,2688.766,1435.55951,8570.8792,5178.9244,17301.691,15429.109600000002,3867.6814000000004,2833.4127000000003,5526.0409,5309.268300000001,2090.0436,726.1434299999999,4639.4857,501.62114999999994,1209.8117200000002,2017.3121500000002
LOMO EMB.IBERICO,99706.21500000001,12752.489,2053.44081,1260.4458,10485.3128,1809.4016900000001,15523.821,30772.429999999997,4784.48784,4299.6021900000005,4474.399380000001,2770.04853,1981.3626300000003,302.092258,4146.565699999999,244.92951499999998,791.335019,1254.042892
LOMO E.I.AL CORTE,42668.484,7889.025799999999,958.2353370000001,263.249059,7167.0467,677.101872,4032.8821000000003,12400.931799999998,2483.927375,606.179831,1324.592529,1057.21051,692.63225,171.554846,2224.28837,140.62455,11.860184,567.1434320000001
LOMO E.I.ENVASADO,57037.721999999994,4863.46334,1095.20541,997.19675,3318.26651,1132.29978,11490.9394,18371.499200000002,2300.5606,3693.42244,3149.80714,1712.83787,1288.73038,130.53741,1922.2773799999998,104.304945,779.474779,686.8995600000001
OTRAS SALAZONES,90608.852,15987.6359,3231.352,2367.785324,9742.3138,1698.93321,11495.916799999999,12842.7896,6079.856580000001,2897.65842,6879.237980000001,6696.86897,2105.730459,956.98118,2922.7508699999994,513.362222,2186.9829400000003,2002.69303
O.SALAZONES AL COR,44117.634,6066.267600000001,999.02494,835.392074,4975.7455,784.6463699999999,5827.7006,7334.2395,3577.6182999999996,1540.1064900000001,4535.201900000001,2776.9635700000003,599.499489,403.83561,1135.45561,319.58349,1557.83828,848.5132599999998
O.SALAZONES ENVASA,46491.218,9921.3683,2232.3270599999996,1532.3932499999999,4766.5683,914.2868399999999,5668.216199999999,5508.5501,2502.2382799999996,1357.55193,2344.03608,3919.9054,1506.23097,553.14557,1787.29526,193.778732,629.1446600000002,1154.17977
TOCINO Y MANTECA,108379.658,21666.119,2395.3339000000005,6500.578600000001,14517.116399999999,4488.4091,18644.024999999998,15618.9056,3655.0910999999996,3015.5127999999995,2691.1838,3475.740499999999,2100.21309,1034.98212,2691.282,260.80055899999996,991.326713,4633.037800000001
TOCINO,13984.46,1690.76218,204.98743,197.580384,746.6833100000001,565.4927899999999,3871.7236999999996,1851.07633,654.88828,202.55162999999996,239.533554,1812.0963800000002,1230.88276,113.28156800000002,357.16470000000004,13.029803,51.423018000000006,181.302234
CHORIZOS,383115.132,51722.347100000006,8598.473290000002,4499.664220000001,27661.133,8249.37896,56281.869199999994,55213.0652,17626.669,7830.13768,31812.853999999996,34339.0136,14815.605880000003,6827.19061,34294.672,3719.08244,6257.558391,13366.43664
CHOR.IBERICO,64990.682,11414.8561,1181.89569,566.03662,4419.955,1111.72556,10131.061200000002,13848.0792,2892.2925999999998,2257.92458,4154.064,3045.8226000000004,1208.86208,804.26981,5049.549,362.45664,702.472291,1839.3527400000003
CHOR.NORMAL,318124.44999999995,40307.49100000001,7416.5776000000005,3933.6276,23241.178,7137.653400000001,46150.808,41364.986,14734.3764,5572.2131,27658.79,31293.191,13606.7438,6022.920800000001,29245.122999999996,3356.6258,5555.0860999999995,11527.083900000001
CHORIZO DE PAVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHORIZO DE CERDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SALCHICHON/SALAMI,176155.63,18659.033999999996,3719.5223,2865.9445000000005,18059.902,7189.3242,49083.053,20382.058,9200.858500000002,5254.2483,11062.345099999999,8736.5412,2516.9175000000005,1271.37368,5869.8586,1524.81038,1579.1538999999998,9180.690700000001
SALCHICHON DE PAVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SALCHICHON DE CERD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUET/LONGANIZAS,302750.44,94648.42000000001,10473.601000000002,7344.6584,41038.907,11135.7425,41246.291,34555.424,14799.776000000003,5105.2367,11519.142800000001,9448.8878,3376.3579999999997,2069.59136,7965.8299000000015,1299.2650899999999,2231.04632,4492.2725
FUET/LONGANIZ.PAVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUET/LONGANIZ.CERD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTROS PROD.CURADOS,160546.94400000002,30970.579000000005,3821.2612799999997,3637.2079,13383.264500000001,3718.7615999999994,19933.028299999998,23178.6306,6271.42902,3136.0636200000004,13387.1552,13227.915099999998,6487.0912100000005,1887.98338,7834.57236,1463.03788,2826.117665,5382.8448
O.PROD.CURAD.CORTE,62272.86899999999,9335.476,1039.70398,1006.7684200000001,5097.130799999999,1753.13655,7340.506399999999,8481.1484,2676.4875199999997,1191.21077,5326.1305,6204.2938,3932.4300999999996,636.3688,3070.4696599999997,993.34504,1022.4271050000002,3165.8328
O.PROD.CURAD.ENVAS,98274.07500000001,21635.103,2781.5573,2630.4394799999995,8286.1337,1965.62505,12592.5219,14697.482200000002,3594.9415,1944.85285,8061.0247,7023.621300000001,2554.66111,1251.61458,4764.102700000001,469.69284,1803.6905599999998,2217.012
SALCHICHAS,210392.56,33362.216,7031.031800000001,4926.6091,13061.793300000001,5751.683000000001,47039.69899999999,31729.101,8181.5218,5599.681499999999,9813.872899999998,11091.9176,3950.4463,2972.1277,10168.612299999999,1084.56816,2870.3042000000005,11757.377199999999
JAMON COCIDO,477718.77,94929.00000000001,10759.5321,14426.53,40562.83299999999,14580.6142,75637.374,65468.664000000004,18050.737999999998,6600.751,22184.739,23256.452999999998,14824.277199999999,5198.302000000001,25062.438000000002,3383.1692,6447.789999999999,36345.565
JAMON COC.SIN SAL,32788.32,6128.2038,1021.83646,691.867538,2450.7500999999997,687.0267799999999,3309.3447999999994,3084.9036,1733.8424300000004,477.20107999999993,3517.4588,2304.3081,1167.2154799999998,355.67068599999993,1482.56591,109.156913,714.77193,3552.1954
PALETA COCIDA,12735.344800000003,3113.5701,252.471141,219.15425800000003,673.0882100000001,357.9763,2076.47906,1117.39274,318.261218,814.2626700000001,942.5166,340.36383800000004,160.41259599999998,131.033245,736.60355,87.000719,105.354244,1289.40342
FIAMBRES,790296.72,129149.09899999999,19307.211,16007.134000000002,75394.011,21018.629999999997,157792.38,120394.568,33833.214,23198.179,36186.895,34906.727,17234.331,9019.5297,37781.703,4268.336899999999,9459.2232,45345.594
PAVO,436065.23000000004,62573.875,11587.690600000002,9648.3349,41408.72,10849.9663,90438.507,65368.096,15820.375900000001,13486.9626,20521.411,21723.321,11043.780999999999,5462.98,23563.596999999998,2620.0496000000003,6058.1367,23889.441
POLLO,51902.006,7560.9705,1425.4553899999996,1303.54005,4601.0454,854.1982800000001,12922.939100000001,8551.4887,2168.5396,1183.88013,1974.303,1839.6861499999998,771.89438,500.952487,2157.0824,260.96083300000004,830.25745,2994.8070999999995
PROD.A BASE SANGRE,16809.33,1457.8435100000002,296.4461,382.70289499999996,1213.90223,147.568045,1845.97617,3863.3025000000002,675.54011,167.44662600000004,1387.006,275.413101,312.078358,1212.9949500000002,2394.17921,168.99010400000003,814.15264,193.78790099999998
MORCILLA,15145.136299999998,1381.10329,267.99111,293.87625899999995,867.30501,104.78803599999999,1333.0682199999999,3644.7050000000004,600.2626600000001,136.89852299999998,1344.52754,243.61204999999998,291.796468,1179.76593,2331.48711,120.03868299999999,814.15264,189.757581
FOIE-GRAS Y PATES,131423.949,26158.428,4226.489199999999,4004.1369000000004,14038.963800000001,4261.2612,26390.346,18231.7185,4829.2842,3306.1581,5258.3875,2785.2124000000003,1669.6270400000003,1282.95005,8604.8182,1219.4310099999998,1486.29456,3670.4406999999997
