ventas(miles €),ESPAÑA,CATALUÑA,ARAGÓN,ILLES BALEARS,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,ANDALUCÍA,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,EXTREMADURA,CASTILLA Y LEÓN,GALICIA,PRINCIPADO DE ASTURIAS,CANTABRIA,PAIS VASCO,LA RIOJA,C. FORAL DE NAVARRA,CANARIAS
.TOTAL ALIMENTACION,69503129.596887,12542058.299498,2011978.5692199997,1801109.0477359998,7162241.034943,1971765.831497,11435581.478766002,9458425.356711,2802768.4429490003,1456336.7535040004,3772032.7923689997,4435240.760214,1705765.9805930003,864618.617511,3650008.960106,448146.75845599995,960675.1773600001,3024377.0607840004
T.HUEVOS KGS,899439.6175,149391.82169,26487.328220000003,20481.828554000003,94318.57543000001,25018.523679,155186.10039999997,114473.1376,31182.746429999996,19171.793073999997,48661.46128,68326.13233000001,21414.196589,12881.430078000001,51357.64182,6171.365229999999,11939.445884,42976.12915
T.HUEVOS UNDS.,899439.6175,149391.82169,26487.328220000003,20481.828554000003,94318.57543000001,25018.523679,155186.10039999997,114473.1376,31182.746429999996,19171.793073999997,48661.46128,68326.13233000001,21414.196589,12881.430078000001,51357.64182,6171.365229999999,11939.445884,42976.12915
TOTAL HUEVOS GALLINA,888057.8099999999,147333.31,25873.364,20140.301,93174.79100000001,24753.453,152689.51,113107.192,30783.675,19060.704,47940.751000000004,67820.18500000001,21315.53,12837.8816,50627.589,6046.1487,11841.4813,42711.983
HUEVOS GALLINA,745291.0399999999,134059.41,20458.451999999997,18244.846,84234.48,22511.683,120312.95599999999,105644.54200000002,26667.925999999996,13633.504400000002,37620.209,34984.890999999996,17293.456000000002,10269.493,46734.312999999995,5439.181299999999,10589.925,36591.794
HUEVOS G.SIST.ALTER,142766.796,13273.9183,5414.912499999999,1895.4557599999996,8940.3095,2241.7699,32376.534,7462.6504,4115.7495,5427.1975999999995,10320.542,32835.293,4022.073,2568.3880200000003,3893.2755000000006,606.9674399999999,1251.5559500000002,6120.1879
OTRAS AVES,11381.807499999999,2058.5116900000003,613.96422,341.527554,1143.78443,265.070679,2496.5904,1365.9456,399.07143,111.08907400000001,720.71028,505.94732999999997,98.666589,43.548478,730.05282,125.21652999999998,97.964584,264.14615
MIEL,116487.71900000001,21142.90062,2786.5186200000003,2559.1794600000003,13842.3425,3340.88452,17282.0042,14713.389989999998,4430.077049,1785.33945,6650.140750000001,7108.33948,4456.5959,1385.45903,5917.392900000001,809.24386,1392.40936,6885.501770999999
GRANEL,48582.687,7195.76782,1594.24562,208.85467,7231.988200000001,1682.10252,5081.7333,4619.04559,2515.170709,610.43813,3527.8843500000003,3720.0106800000003,3076.52273,661.5345,2350.33648,397.96185,576.5246999999999,3532.565571
ENVASADA,67905.032,13947.132800000001,1192.2730000000001,2350.32479,6610.3543,1658.7820000000002,12200.270900000001,10094.3444,1914.9063400000002,1174.90132,3122.2564,3388.3288000000002,1380.07317,723.9245300000001,3567.05642,411.28201,815.88466,3352.9362
TOTAL CARNE,14315433.654000003,2557261.07008,449220.880017,329051.104631,1453398.6105000002,374706.661594,2253306.92458,2060425.64556,648785.1123250001,291809.237371,901283.96962,890339.4457399999,338149.238846,173150.08430500003,754067.0060549999,103613.114527,203681.52806300003,533184.2500890001
CARNE CERTIFICADA,2779762.0999999996,489867.97000000003,88668.104,53100.191999999995,264275.63999999996,60765.33,376715.02,421490.61,132584.14299999998,43887.352,220068.64,214604.49999999994,82468.881,36707.155,132462.809,17321.710799999997,42138.880000000005,102635.231
