ventas(miles €),2019,2020,2021
.TOTAL ALIMENTACION,69503129.596887,79348253.964577,74543604.005106
TORTILLAS REFRIGERADTORTILLAS REFRIGE.SG,68976.013,116094.327,143272.75600000002
